DOI,Layer,Indegree,Direct,Freq,Seed,Citation_Count,Score
10.1038/nature14236,0,0,0,1,1,19974,199.1205
10.5962/bhl.title.55072,1,1,1,1,0,611,39.9512
10.1126/science.275.5306.1593,1,1,1,1,0,7173,45.202
10.1007/bf00344251,1,2,1,2,0,3932,39.0676
10.1145/203330.203343,1,1,1,1,0,968,39.5494
10.1007/s10514-009-9120-4,1,1,1,1,0,175,40.545
10.1561/2200000006,1,1,1,1,0,5743,41.9448
10.1126/science.1127647,1,1,1,1,0,15599,76.3241
10.1613/jair.3912,1,1,1,1,0,860,39.6628
10.1007/s11023-007-9079-x,1,1,1,1,0,389,40.2396
10.1109/5.726791,1,2,1,2,0,40562,198.9115
10.1113/jphysiol.1963.sp007079,1,1,1,1,0,611,39.9512
10.1109/9.580874,1,2,1,2,0,694,19.6297
10.1037/0033-295x.102.3.419,1,8,1,8,0,3656,16.5619
10.1016/j.tins.2010.01.006,1,1,1,1,0,352,40.2905
10.1038/nn.2304,1,1,1,1,0,231,40.4625
10.1038/415318a,1,1,1,1,0,446,40.1628
10.1038/nn.3203,1,1,1,1,0,323,40.331
10.1016/s0004-3702(98)00023-x,1,1,1,1,0,2198,38.7773
10.1037/h0076778,2,1,0,1,0,1903,46.0152
10.1037/0033-295x.88.2.135,2,4,0,4,0,1037,15.659
10.1101/lm.1.1.1,2,2,0,2,0,117,30.3211
10.1038/377725a0,2,1,0,1,0,220,46.303
10.1523/jneurosci.16-05-01936.1996,2,2,0,2,0,1536,24.1076
10.1016/0306-4522(94)90592-4,2,1,0,1,0,192,46.3209
10.7551/mitpress/4708.003.0020,2,1,0,1,0,83,46.3946
10.1016/1044-5765(92)90012-q,2,1,0,1,0,116,46.3716
10.1002/syn.890100307,2,1,0,1,0,224,46.3005
10.1016/0376-8716(95)01118-i,2,1,0,1,0,462,46.1659
10.1016/0006-8993(75)90998-1,2,2,0,2,0,85,30.2311
10.1126/science.897677,2,1,0,1,0,58,46.4125
10.1007/bf00426039,2,1,0,1,0,18,46.4417
10.1016/0006-8993(80)90666-6,2,1,0,1,0,218,46.3042
10.1146/annurev.ps.40.020189.001203,2,1,0,1,0,1449,45.939
10.1017/s0140525x00010372,2,2,0,2,0,809,26.9686
10.1016/0165-0173(83)90038-3,2,2,0,2,0,676,29.8568
10.1126/science.6857251,2,2,0,2,0,175,27.3107
10.1016/0361-9230(89)90223-2,2,1,0,1,0,44,46.4226
10.1152/physrev.1991.71.1.155,2,1,0,1,0,836,46.0168
10.1007/bf00342633,2,3,0,3,0,533,60.7576
10.1152/jn.1972.35.1.96,2,3,0,3,0,1111,21.5524
10.1113/jphysiol.1962.sp006837,2,4,0,4,0,10028,70.0986
10.1152/jn.1965.28.2.229,2,3,0,3,0,1931,18.8648
10.1098/rspb.1977.0085,2,2,0,2,0,1719,14.5173
10.1016/0893-6080(89)90020-8,2,5,0,5,0,16496,87.5561
10.7551/mitpress/5236.001.0001,2,4,0,4,0,13711,67.1967
10.1147/rd.33.0210,2,8,0,8,0,2583,11.4156
10.1023/a:1022633531479,2,1,0,1,0,189,39.1836
10.1162/neco.1989.1.3.321,2,1,0,1,0,38,39.3787
10.1007/bf00992697,2,2,0,2,0,276,20.2596
10.1016/s0004-3702(99)00026-0,2,1,0,1,0,95,38.4769
10.1109/iros.2008.4650953,2,1,0,1,0,52,38.5374
10.1080/088395198117848,2,2,0,2,0,133,19.8212
10.1163/1568553041719519,2,1,0,1,0,15,38.5903
10.1177/0278364907087548,2,1,0,1,0,126,38.434
10.1016/j.neunet.2008.02.003,2,1,0,1,0,545,37.9126
10.1109/icnn.1993.298623,2,1,0,1,0,1920,36.4807
10.1177/105971230501300301,2,1,0,1,0,225,38.3009
10.1016/0004-3702(89)90017-9,2,2,0,2,0,72,20.2885
10.1016/j.robot.2004.05.005,2,1,0,1,0,52,38.5374
10.1016/0885-2308(87)90026-x,2,1,0,1,0,88,57.1922
10.1126/science.269.5232.1860,2,3,0,3,0,84,41.7506
10.1162/neco.1997.9.7.1493,2,2,0,2,0,532,50.3053
10.1073/pnas.79.8.2554,2,2,0,2,0,13861,74.5852
10.1162/neco.2006.18.7.1527,2,1,0,1,0,12351,83.1625
10.1002/(sici)1097-4571(199009)41:6<391::aid-asi1>3.0.co;2-9,2,1,0,1,0,7038,66.3232
10.1126/science.290.5500.2323,2,1,0,1,0,11188,79.0087
10.1126/science.290.5500.2319,2,1,0,1,0,9955,74.855
10.1109/21.97471,2,1,0,1,0,462,38.237
10.1002/j.1556-6676.1992.tb01670.x,2,1,0,1,0,34,38.7824
10.3406/psy.1904.3675,2,1,0,1,0,480,38.2165
10.2307/2184371,2,1,0,1,0,228,38.5212
10.1007/978-3-662-04978-5,2,1,0,1,0,134,38.6449
10.1017/cbo9780511571312,2,1,0,1,0,3188,36.9357
10.1007/bf02084159,2,2,0,2,0,99,20.0947
10.1109/jproc.1995.481636,2,1,0,1,0,17,38.8064
10.1093/mind/xcix.393.53,2,1,0,1,0,124,38.6584
10.1016/s0160-2896(97)90011-8,2,1,0,1,0,689,37.9942
10.1016/s0160-2896(97)90014-3,2,1,0,1,0,917,37.7837
10.1080/09528138908953691,2,1,0,1,0,148,38.6261
10.1023/a:1008367325700,2,1,0,1,0,59,38.7475
10.1016/b978-0-12-293850-4.50022-4,2,1,0,1,0,72,38.7295
10.1145/224538.224567,2,1,0,1,0,21,38.8008
10.1007/3-540-44795-4_20,2,1,0,1,0,22,38.7994
10.1016/j.tcs.2007.05.016,2,1,0,1,0,59,38.7475
10.1109/72.554195,2,1,0,1,0,2354,89.2326
10.1162/neco.1995.7.6.1289,2,1,0,1,0,89,86.4943
10.1016/0031-3203(82)90024-3,2,1,0,1,0,564,86.9516
10.1162/neco.1993.5.3.419,2,1,0,1,0,26,86.4385
10.1109/5.18626,2,1,0,1,0,14625,122.8829
10.1007/978-1-4615-3210-1,2,1,0,1,0,486,86.8722
10.1109/5.156474,2,1,0,1,0,34,86.4455
10.1109/5.156477,2,1,0,1,0,278,86.6687
10.1109/78.175747,2,1,0,1,0,531,86.9177
10.1007/bf00116037,2,1,0,1,0,2196,88.9967
10.1162/neco.1992.4.6.888,2,1,0,1,0,372,86.7592
10.1007/bf02551274,2,1,0,1,0,10013,107.3323
10.1162/neco.1991.3.3.440,2,1,0,1,0,136,86.5368
10.1109/tc.1978.1675179,2,2,0,2,0,25,78.4446
10.1162/neco.1994.6.5.851,2,1,0,1,0,281,86.6716
10.1103/physreva.45.6056,2,1,0,1,0,376,86.763
10.1007/978-1-4757-2440-0,2,1,0,1,0,17522,133.7966
10.1007/bf00115009,2,3,0,3,0,2376,12.623
10.1007/bf00993306,2,2,0,2,0,382,10.8041
10.1007/bf00993978,2,1,0,1,0,71,20.4122
10.1016/b978-1-55860-377-6.50040-2,2,2,0,2,0,138,11.0587
10.1162/neco.1995.7.2.270,2,2,0,2,0,22,11.4006
10.1007/bf00114726,2,1,0,1,0,250,20.1916
10.1007/bf00992698,2,3,0,3,0,7892,60.2663
10.1162/neco.1994.6.6.1185,2,4,0,4,0,396,6.9415
10.1007/bf00114724,2,1,0,1,0,192,20.259
10.1007/978-3-642-75894-2,2,2,0,2,0,884,10.8287
10.1136/jnnp.20.1.11,2,3,0,3,0,5158,37.3262
10.1016/j.conb.2006.03.013,2,1,0,1,0,479,38.1777
10.1038/297681a0,2,1,0,1,0,4514,42.1098
10.1038/13202,2,2,0,2,0,382,20.0061
10.1037/0033-295x.99.2.195,2,7,0,7,0,3813,18.4781
10.1038/nrn1607,2,2,0,2,0,1650,19.3587
10.1016/0028-3932(83)90005-2,2,1,0,1,0,127,38.6159
10.1111/j.1469-7580.2005.00421.x,2,2,0,2,0,620,19.7167
10.1016/j.tics.2007.02.005,2,1,0,1,0,574,38.0728
10.1126/science.1063530,2,2,0,2,0,547,19.7204
10.1016/j.tics.2007.09.001,2,3,0,3,0,513,26.2121
10.1038/nature05278,2,3,0,3,0,1490,14.6431
10.1126/science.1062856,2,6,0,6,0,785,9.4779
10.1016/s0896-6273(00)80987-3,2,1,0,1,0,941,37.7218
10.1016/0006-8993(86)91483-6,2,4,0,4,0,731,12.1281
10.1523/jneurosci.19-16-j0001.1999,2,1,0,1,0,292,38.4009
10.1016/0306-4522(89)90423-5,2,9,0,9,0,1385,9.7231
10.1016/0006-8993(71)90358-1,2,4,0,4,0,4631,25.4041
10.1016/0166-2236(87)90011-7,2,2,0,2,0,1021,21.3293
10.1146/annurev.ps.14.020163.000333,2,1,0,1,0,218,38.3686
10.1016/s0896-6273(01)00424-x,2,1,0,1,0,532,37.9876
